"game_date","Home.Team","Away.Team","Period","Clock","Home.Team.Skaters","Away.Team.Skaters","Home.Team.Goals","Away.Team.Goals","Team","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","Player.2","X.Coordinate.2","Y.Coordinate.2","Net","Distance","Angle"
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"16M 22S",5,5,0,0,"Olympic (Women) - Olympic Athletes from Russia","Valeria Pavlova","Shot",156,40,"Wristshot","On Net","t","f",NA,NA,NA,"OnNet",33.0945614867458,4.33231398318847
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"16M 9S",5,5,0,0,"Olympic (Women) - Canada","Bailey Bram","Shot",178,29,"Wristshot","Missed","t","f",NA,NA,NA,"Missed",17.414074767268,50.8263420295558
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"15M 36S",5,5,0,0,"Olympic (Women) - Canada","Brigette Lacquette","Shot",132,69,"Snapshot","Blocked","t","f",NA,NA,NA,"Missed",62.8589691293136,24.9342951025766
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"15M 22S",5,5,0,0,"Olympic (Women) - Canada","Brianne Jenner","Shot",177,21,"Snapshot","Blocked","f","t",NA,NA,NA,"Missed",24.6221445044903,60.8323866204222
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"14M 30S",5,5,0,0,"Olympic (Women) - Canada","Laura Fortino","Shot",141,77,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",59.1121814857141,35.7066914006029
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"12M 58S",5,5,0,0,"Olympic (Women) - Canada","Jillian Saulnier","Shot",175,54,"Deflection","On Net","t","f",NA,NA,NA,"OnNet",18.1176709319934,39.4006606634794
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"11M 0S",5,5,0,0,"Olympic (Women) - Olympic Athletes from Russia","Maria Batalova","Shot",152,52,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",38.2001308898281,14.4000213067911
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"9M 34S",5,5,0,0,"Olympic (Women) - Canada","Meaghan Mikkelson","Shot",130,72,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",65.9640053362438,26.565051177078
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"9M 7S",5,5,0,0,"Olympic (Women) - Canada","Marie-Philip Poulin","Shot",180,36,"Snapshot","Blocked","t","t",NA,NA,NA,"Missed",11.1018016555873,35.8376529542783
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"8M 57S",5,4,0,0,"Olympic (Women) - Canada","Marie-Philip Poulin","Shot",138,54,"Slapshot","On Net","f","t",NA,NA,NA,"OnNet",52.2804934942278,12.7071135013166
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"8M 28S",5,4,0,0,"Olympic (Women) - Canada","Melodie Daoust","Shot",170,46,"Snapshot","Missed","f","t",NA,NA,NA,"Missed",19.3196790863617,10.4374753511182
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"8M 17S",5,4,0,0,"Olympic (Women) - Canada","Laura Fortino","Shot",169,68,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",32.4075608461976,51.8924231224851
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"8M 9S",5,4,0,0,"Olympic (Women) - Canada","Rebecca Johnston","Shot",159,16,"Slapshot","Missed","t","f",NA,NA,NA,"Missed",40.0281151192509,41.4552335444051
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"8M 1S",5,4,0,0,"Olympic (Women) - Canada","Marie-Philip Poulin","Shot",145,56,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",46.0244500238732,17.0569655766171
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"7M 47S",5,4,0,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",155,51,"Slapshot","Missed","t","f",NA,NA,NA,"Missed",35.0463978177501,14.0362434679265
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"7M 10S",5,4,0,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",171,35,"Deflection","On Net","f","t",NA,NA,NA,"OnNet",19.5,22.6198649480404
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 59S",5,5,0,0,"Olympic (Women) - Canada","Meghan Agosta","Shot",155,65,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",40.7707002637924,33.4951846737412
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 57S",5,5,0,0,"Olympic (Women) - Canada","Brianne Jenner","Shot",191,46,"Snapshot","On Net","f","f",NA,NA,NA,"OnNet",4.03112887414927,119.744881296942
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 56S",5,5,0,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",185,44,"Snapshot","Missed","f","f",NA,NA,NA,"Missed",4.27200187265877,20.5560452195834
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 55S",5,5,0,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",179,38,"Wristshot","On Net","t","f",NA,NA,NA,"OnNet",10.9658560997307,24.2277453179542
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 52S",5,5,0,0,"Olympic (Women) - Canada","Laura Stacey","Shot",154,21,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",41.0761487970817,31.5618118416493
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 50S",5,5,0,0,"Olympic (Women) - Canada","Emily Clark","Shot",193,36,"Wristshot","Missed","f","f",NA,NA,NA,"Missed",7.63216876123687,121.607502246249
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 35S",5,5,0,0,"Olympic (Women) - Canada","Sarah Nurse","Shot",159,21,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",36.9086710679212,35.6279072914209
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 23S",5,5,0,0,"Olympic (Women) - Canada","Emily Clark","Shot",160,10,"Snapshot","Missed","t","f",NA,NA,NA,"Missed",43.5574333495444,48.257221940667
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"6M 23S",5,5,0,0,"Olympic (Women) - Canada","Sarah Nurse","Shot",180,34,"Deflection","Missed","f","f",NA,NA,NA,"Missed",12.3794184031399,43.3634229583833
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"4M 50S",5,5,0,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",174,30,"Wristshot","Missed","f","f",NA,NA,NA,"Missed",19.5256241897666,39.8055710922652
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"4M 25S",5,5,0,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",186,38,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",5.40832691319598,56.3099324740202
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"4M 14S",5,5,0,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",188,46,"Wrap Around","On Net","f","f",NA,NA,NA,"OnNet",3.64005494464026,74.0546040990772
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"4M 13S",5,5,0,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",186,48,"Wristshot","Blocked","f","f",NA,NA,NA,"Missed",6.26498204307083,61.3895403340348
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"3M 36S",5,5,0,0,"Olympic (Women) - Canada","Laura Fortino","Shot",180,55,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",15.4029218007494,54.2461127455633
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"3M 34S",5,5,0,0,"Olympic (Women) - Canada","Brianne Jenner","Shot",172,51,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",19.0065778087482,26.565051177078
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"2M 49S",5,5,0,0,"Olympic (Women) - Canada","Melodie Daoust","Shot",183,36,"Fan","Missed","f","f",NA,NA,NA,"Missed",8.84590300647707,47.2906100426385
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"2M 42S",5,5,0,0,"Olympic (Women) - Canada","Meaghan Mikkelson","Shot",128,59,"Snapshot","Missed","t","f",NA,NA,NA,"Missed",63.1921672361377,15.135835503748
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"2M 42S",5,5,0,0,"Olympic (Women) - Canada","Marie-Philip Poulin","Shot",167,46,"Deflection","Missed","t","f",NA,NA,NA,"Missed",22.2766694099455,9.0394828033551
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"2M 8S",5,5,0,0,"Olympic (Women) - Olympic Athletes from Russia","Yekaterina Smolina","Shot",155,4,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",51.3638978271704,48.5517333548204
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"1M 25S",5,5,0,0,"Olympic (Women) - Canada","Blayre Turnbull","Shot",164,19,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",34.3110769285955,43.2285302599659
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"1M 5S",5,5,0,0,"Olympic (Women) - Olympic Athletes from Russia","Valeria Pavlova","Shot",156,14,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",43.6033255612459,40.8150838748816
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,NA,5,5,0,0,"Olympic (Women) - Olympic Athletes from Russia","Nina Pirogova","Shot",197,21,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",22.9401394939089,110.409882833804
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,NA,5,5,0,0,"Olympic (Women) - Olympic Athletes from Russia","Olga Sosina","Shot",162,10,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",42.252218876646,50.2812406284451
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"19M 12S",5,5,0,0,"Olympic (Women) - Olympic Athletes from Russia","Lyudmila Belyakova","Shot",138,44,"Wristshot","Missed","t","f",NA,NA,NA,"Missed",51.0220540550848,1.68468431789628
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"18M 7S",5,5,0,0,"Olympic (Women) - Canada","Rebecca Johnston","Goal",178,41,"Snapshot","On Net","f","t",NA,NA,NA,"OnNet",11.1018016555873,7.76516601842535
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"17M 33S",5,5,1,0,"Olympic (Women) - Olympic Athletes from Russia","Valeria Pavlova","Shot",163,34,"Wristshot","On Net","t","f",NA,NA,NA,"OnNet",27.3541587331799,18.1037630345066
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"17M 32S",5,5,1,0,"Olympic (Women) - Olympic Athletes from Russia","Valeria Pavlova","Shot",177,31,"Snapshot","Missed","f","f",NA,NA,NA,"Missed",16.6207701385947,43.7811247648687
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"17M 9S",5,5,1,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",157,29,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",34.7311099736245,22.8736651906267
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"17M 4S",5,5,1,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",178,51,"Snapshot","On Net","f","t",NA,NA,NA,"OnNet",13.9014387744578,37.6942404666892
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"16M 54S",5,5,1,0,"Olympic (Women) - Olympic Athletes from Russia","Nina Pirogova","Shot",158,47,"Wristshot","Missed","f","f",NA,NA,NA,"Missed",31.3249102153542,8.25943797987879
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"16M 4S",5,5,1,0,"Olympic (Women) - Canada","Emily Clark","Shot",191,58,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",15.6284996080878,97.3523793598924
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"15M 48S",5,4,1,0,"Olympic (Women) - Canada","Rebecca Johnston","Shot",138,65,"Wristshot","Missed","t","f",NA,NA,NA,"Missed",55.7427125281861,23.8059435184577
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"15M 48S",5,4,1,0,"Olympic (Women) - Canada","Haley Irwin","Goal",179,47,"Deflection","On Net","f","f",NA,NA,NA,"OnNet",10.9658560997307,24.2277453179542
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"13M 58S",5,5,2,0,"Olympic (Women) - Olympic Athletes from Russia","Olga Sosina","Shot",138,56,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",52.7565161852069,14.8264799703557
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"13M 55S",5,5,2,0,"Olympic (Women) - Olympic Athletes from Russia","Olga Sosina","Shot",193,34,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",9.39414711402797,115.201123645475
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"13M 35S",5,5,2,0,"Olympic (Women) - Canada","Melodie Daoust","Shot",167,53,"Deflection","On Net","t","t",NA,NA,NA,"OnNet",24.3772434864978,25.5138704275342
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"13M 30S",5,5,2,0,"Olympic (Women) - Canada","Melodie Daoust","Shot",172,30,"Snapshot","On Net","f","t",NA,NA,NA,"OnNet",21.1009478460092,36.3268259521202
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"13M 26S",5,5,2,0,"Olympic (Women) - Canada","Meghan Agosta","Shot",159,69,"Snapshot","Blocked","t","f",NA,NA,NA,"Missed",40.0281151192509,41.4552335444051
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"12M 5S",5,5,2,0,"Olympic (Women) - Canada","Sarah Nurse","Shot",178,23,"Wristshot","Missed","f","f",NA,NA,NA,"Missed",22.3886131772381,60.5725435968103
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"11M 41S",5,5,2,0,"Olympic (Women) - Olympic Athletes from Russia","Valeria Pavlova","Shot",158,33,"Snapshot","On Net","f","f",NA,NA,NA,"OnNet",32.422985673747,17.0377677956256
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"11M 32S",5,5,2,0,"Olympic (Women) - Olympic Athletes from Russia","Valeria Pavlova","Shot",172,36,"Wristshot","On Net","t","f",NA,NA,NA,"OnNet",18.2002747232013,20.9245017449212
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"10M 26S",5,4,2,0,"Olympic (Women) - Canada","Marie-Philip Poulin","Shot",139,55,"Slapshot","Missed","t","f",NA,NA,NA,"Missed",51.5388203202208,14.0362434679265
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"10M 17S",5,4,2,0,"Olympic (Women) - Canada","Marie-Philip Poulin","Shot",127,43,"Slapshot","Blocked","t","t",NA,NA,NA,"Missed",62.0020160962529,0.462052721431114
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"9M 20S",5,4,2,0,"Olympic (Women) - Canada","Meghan Agosta","Shot",163,64,"Snapshot","Missed","t","f",NA,NA,NA,"Missed",33.7379608156747,39.588130847683
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"8M 51S",5,4,2,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",154,43,"Snapshot","Blocked","t","f",NA,NA,NA,"Missed",35.0035712463743,0.818455461688598
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"8M 40S",5,4,2,0,"Olympic (Women) - Canada","Laura Stacey","Shot",184,42,"Deflection","On Net","f","t",NA,NA,NA,"OnNet",5.02493781056044,5.71059313749963
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"8M 3S",5,5,2,0,"Olympic (Women) - Olympic Athletes from Russia","Yevgenia Dyupina","Shot",127,73,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",69.0959477827752,26.1942098862499
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"8M 1S",5,5,2,0,"Olympic (Women) - Olympic Athletes from Russia","Yevgenia Dyupina","Shot",162,81,"Wristshot","On Net","t","f",NA,NA,NA,"OnNet",47.0239300782059,54.958070598461
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"7M 35S",5,5,2,0,"Olympic (Women) - Canada","Meghan Agosta","Shot",177,60,"Snapshot","Blocked","t","f",NA,NA,NA,"Missed",21.2190951739229,55.5610106911964
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"6M 28S",5,5,2,0,"Olympic (Women) - Canada","Rebecca Johnston","Shot",169,55,"Deflection","Blocked","t","t",NA,NA,NA,"Missed",23.5849528301415,32.0053832080835
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"6M 8S",5,5,2,0,"Olympic (Women) - Olympic Athletes from Russia","Fanuza Kadirova","Shot",150,62,"Wristshot","Missed","f","f",NA,NA,NA,"Missed",43.6033255612459,26.565051177078
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"5M 40S",5,5,2,0,"Olympic (Women) - Canada","Laura Stacey","Shot",171,25,"Snapshot","Blocked","t","t",NA,NA,NA,"Missed",25.1047804212664,44.1930705448976
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"5M 10S",5,5,2,0,"Olympic (Women) - Canada","Natalie Spooner","Shot",184,75,"Snapshot","On Net","f","f",NA,NA,NA,"OnNet",32.8823660949148,81.2538377374448
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"4M 56S",5,5,2,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",158,47,"Snapshot","Blocked","t","f",NA,NA,NA,"Missed",31.3249102153542,8.25943797987879
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"4M 37S",5,5,2,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",158,26,"Snapshot","On Net","t","f",NA,NA,NA,"OnNet",35.1176593753057,28.0245005320702
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"4M 4S",5,5,2,0,"Olympic (Women) - Canada","Melodie Daoust","Goal",183,44,"Wristshot","On Net","f","t",NA,NA,NA,"OnNet",6.18465843842649,14.0362434679265
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"2M 50S",4,5,3,0,"Olympic (Women) - Canada","Emily Clark","Shot",165,17,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",35.0178525897863,46.7357045889284
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"2M 30S",4,5,3,0,"Olympic (Women) - Olympic Athletes from Russia","Maria Batalova","Shot",134,52,"Slapshot","Missed","f","t",NA,NA,NA,"Missed",55.8144246588639,9.79984866886763
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,"2M 20S",4,5,3,0,"Olympic (Women) - Canada","Sarah Nurse","Shot",144,66,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",50.7666228933933,27.5745639596944
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,NA,5,5,3,0,"Olympic (Women) - Canada","Brigette Lacquette","Shot",131,78,"Slapshot","Missed","t","f",NA,NA,NA,"Missed",68.0018382104484,31.4695068976771
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",2,NA,5,5,3,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",166,49,"Deflection","Missed","f","f",NA,NA,NA,"Missed",23.9008368054342,15.7807533095154
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"19M 40S",5,4,3,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",185,23,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",19.9060292373944,78.4078245897089
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"19M 38S",5,4,3,0,"Olympic (Women) - Canada","Meghan Agosta","Shot",170,53,"Snapshot","Blocked","t","f",NA,NA,NA,"Missed",21.7082933460924,28.9264258352536
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"19M 28S",5,4,3,0,"Olympic (Women) - Canada","Jennifer Wakefield","Shot",165,29,"Deflection","On Net","f","t",NA,NA,NA,"OnNet",27.5363396260287,29.3577535427913
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"18M 9S",5,4,3,0,"Olympic (Women) - Olympic Athletes from Russia","Nina Pirogova","Shot",168,18,"Wristshot","Missed","t","f",NA,NA,NA,"Missed",32.2684056005251,49.3987053549955
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"17M 43S",5,5,3,0,"Olympic (Women) - Canada","Emily Clark","Shot",187,59,"Wristshot","Missed","t","f",NA,NA,NA,"Missed",16.6207701385947,83.0887728809753
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"17M 11S",4,5,3,0,"Olympic (Women) - Olympic Athletes from Russia","Olga Sosina","Shot",152,23,"Wristshot","Missed","t","f",NA,NA,NA,"Missed",41.8240361514763,27.7904424794521
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"17M 4S",4,5,3,0,"Olympic (Women) - Olympic Athletes from Russia","Olga Sosina","Shot",147,22,"Slapshot","Blocked","t","t",NA,NA,NA,"Missed",46.7359604587303,26.0167829407738
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"17M 2S",4,5,3,0,"Olympic (Women) - Olympic Athletes from Russia","Valeria Pavlova","Shot",172,59,"Wristshot","On Net","t","f",NA,NA,NA,"OnNet",23.6907154809643,44.1449026037333
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"17M 2S",4,5,3,0,"Olympic (Women) - Olympic Athletes from Russia","Fanuza Kadirova","Shot",186,50,"Wristshot","On Net","f","f",NA,NA,NA,"OnNet",8.07774721070176,68.1985905136482
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"16M 56S",4,5,3,0,"Olympic (Women) - Olympic Athletes from Russia","Olga Sosina","Shot",147,24,"Slapshot","Missed","t","t",NA,NA,NA,"Missed",45.8938993767146,23.7723488113647
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",3,"16M 47S",4,5,3,0,"Olympic (Women) - Olympic Athletes from Russia","Olga Sosina","Shot",137,35,"Slapshot","Blocked","t","t",NA,NA,NA,"Missed",52.5380814267137,8.20721641191817
